Txn Date,Narration,Debit Amount,Credit Amount,Balance
01/01/2025,NEFT CR-SBI SALARY JANUARY 2025,,35000,35000.00
02/01/2025,UPI-RENT PAYMENT HOUSE EMI,8000,,27000.00
03/01/2025,UPI-BLINKIT GROCERY ORDER,950,,26050.00
04/01/2025,UPI-ZOMATO FOOD ORDER,280,,25770.00
05/01/2025,UPI-RAPIDO CAB BOOKING,120,,25650.00
06/01/2025,AIRTEL BROADBAND INTERNET BILL,499,,25151.00
07/01/2025,UPI-SWIGGY DINNER ORDER,320,,24831.00
08/01/2025,UPI-AMAZON SHOPPING ORDER,1200,,23631.00
09/01/2025,SBI ELECTRICITY BILL PAYMENT,750,,22881.00
10/01/2025,UPI-BIGBASKET GROCERY,880,,22001.00
11/01/2025,UPI-OLA CAB BOOKING,180,,21821.00
12/01/2025,NETFLIX SUBSCRIPTION ENTERTAINMENT,199,,21622.00
13/01/2025,UPI-ZOMATO LUNCH ORDER,250,,21372.00
14/01/2025,PETROL FUEL STATION PAYMENT,500,,20872.00
15/01/2025,UPI-FLIPKART SHOPPING,650,,20222.00
16/01/2025,JIO MOBILE BILL PAYMENT,299,,19923.00
17/01/2025,UPI-SWIGGY BREAKFAST,150,,19773.00
18/01/2025,APOLLO PHARMA MEDICAL STORE,380,,19393.00
19/01/2025,UPI-BLINKIT GROCERY ORDER,620,,18773.00
20/01/2025,UPI-ZOMATO DINNER,290,,18483.00
21/01/2025,UBER CAB BOOKING,220,,18263.00
22/01/2025,SPOTIFY MUSIC SUBSCRIPTION,119,,18144.00
23/01/2025,SBI WATER BILL PAYMENT,150,,17994.00
24/01/2025,UPI-AMAZON SHOPPING,480,,17514.00
25/01/2025,UPI-NANDHANA RESTAURANT LUNCH,350,,17164.00
26/01/2025,DOCTOR CONSULTATION FEE HEALTH,400,,16764.00
27/01/2025,UPI-RAPIDO CAB,100,,16664.00
28/01/2025,BOOKMYSHOW MOVIE ENTERTAINMENT,240,,16424.00
29/01/2025,UPI-SWIGGY LUNCH,200,,16224.00
30/01/2025,DMART GROCERY SUPERMARKET,740,,15484.00
31/01/2025,SBI BANK CHARGE SERVICE FEE,150,,15334.00
